codigo_municipio,anio,num_viviendas,num_empresas,isla,municipio,poblacion_total,edad_media,pct_extranjeros,pct_mayores_65,indice_dependencia,superficie_km2,poblacion_0_14,poblacion_15_64,poblacion_65_mas,poblacion_activa_total,asalariados_total,salario_medio_total,poblacion_activa_hombres,poblacion_activa_mujeres,asalariados_hombres,asalariados_mujeres
38021,2013,0.0,116.0,3,53,1795.0,50.0933,8.0223,26.4624,50.2092,3915.87,125.0,1195.0,475.0,883,608,83.69,496,387,334,274
38021,2014,0.0,123.0,3,53,1795.0,50.0933,8.0223,26.4624,50.2092,3915.87,125.0,1195.0,475.0,883,608,83.69,496,387,334,274
38021,2015,0.0,66.0,3,53,1795.0,50.0933,8.0223,26.4624,50.2092,3915.87,125.0,1195.0,475.0,883,608,83.69,496,387,334,274
38022,2012,18.0,2050.0,6,54,23496.0,45.4947,7.4523,21.1355,48.5866,9585.8,2717.0,15813.0,4966.0,11267,7606,82.91,5867,5401,4045,3561
38022,2013,18.0,2055.0,6,54,23496.0,45.4947,7.4523,21.1355,48.5866,9585.8,2717.0,15813.0,4966.0,11267,7606,82.91,5867,5401,4045,3561
38022,2014,74.0,2076.0,6,54,23496.0,45.4947,7.4523,21.1355,48.5866,9585.8,2717.0,15813.0,4966.0,11267,7606,82.91,5867,5401,4045,3561
38022,2015,4.0,1015.0,6,54,23496.0,45.4947,7.4523,21.1355,48.5866,9585.8,2717.0,15813.0,4966.0,11267,7606,82.91,5867,5401,4045,3561
38023,2012,48.0,14554.0,6,55,157815.0,43.8315,5.7656,17.5928,40.9579,10245.2,18092.0,111959.0,27764.0,81816,59968,87.71,40584,41233,29665,30303
38023,2013,38.0,14161.0,6,55,157815.0,43.8315,5.7656,17.5928,40.9579,10245.2,18092.0,111959.0,27764.0,81816,59968,87.71,40584,41233,29665,30303
38023,2014,80.0,14259.0,6,55,157815.0,43.8315,5.7656,17.5928,40.9579,10245.2,18092.0,111959.0,27764.0,81816,59968,87.71,40584,41233,29665,30303
38023,2015,44.0,7140.0,6,55,157815.0,43.8315,5.7656,17.5928,40.9579,10245.2,18092.0,111959.0,27764.0,81816,59968,87.71,40584,41233,29665,30303
38024,2012,78.0,2749.0,4,56,20551.0,44.4771,11.7707,19.0015,45.083,3560.43,2481.0,14165.0,3905.0,9816,6548,80.39,4886,4931,3150,3398
38024,2013,52.0,2574.0,4,56,20551.0,44.4771,11.7707,19.0015,45.083,3560.43,2481.0,14165.0,3905.0,9816,6548,80.39,4886,4931,3150,3398
38024,2014,24.0,2501.0,4,56,20551.0,44.4771,11.7707,19.0015,45.083,3560.43,2481.0,14165.0,3905.0,9816,6548,80.39,4886,4931,3150,3398
38024,2015,74.0,1229.0,4,56,20551.0,44.4771,11.7707,19.0015,45.083,3560.43,2481.0,14165.0,3905.0,9816,6548,80.39,4886,4931,3150,3398
38025,2012,16.0,588.0,6,57,9054.0,43.0274,5.5776,15.8273,40.6774,1405.07,1185.0,6436.0,1433.0,4745,3409,86.4,2460,2285,1762,1647
38025,2013,2.0,589.0,6,57,9054.0,43.0274,5.5776,15.8273,40.6774,1405.07,1185.0,6436.0,1433.0,4745,3409,86.4,2460,2285,1762,1647
38025,2014,0.0,638.0,6,57,9054.0,43.0274,5.5776,15.8273,40.6774,1405.07,1185.0,6436.0,1433.0,4745,3409,86.4,2460,2285,1762,1647
38025,2015,0.0,354.0,6,57,9054.0,43.0274,5.5776,15.8273,40.6774,1405.07,1185.0,6436.0,1433.0,4745,3409,86.4,2460,2285,1762,1647
38026,2012,24.0,3820.0,6,58,42434.0,43.5373,4.6873,17.8465,43.888,20688.7,5370.0,29491.0,7573.0,21221,15034,84.91,10874,10347,7834,7200
